codigo;descricao
A058;OUTRAS INTOXICACOES ALIMENTARES BACTERIANAS ESPECIFICADAS
A059;INTOXICACAO ALIMENTAR BACTERIANA NAO ESPECIFICADA
A060;DISENTERIA AMEBIANA AGUDA
A061;AMEBIASE INTESTINAL CRONICA
A062;COLITE AMEBIANA NAO-DISENTERICA
A063;AMEBOMA INTESTINAL
A064;ABSCESSO AMEBIANO DO FIGADO
A065;ABSCESSO AMEBIANO DO PULMAO
A066;ABSCESSO AMEBIANO DO CEREBRO
A067;AMEBIASE CUTANEA
A068;INFECCAO AMEBIANA DE OUTRAS LOCALIZACOES
A069;AMEBIASE NAO ESPECIFICADA
A070;BALANTIDIASE
A071;GIARDIASE [LAMBLIASE]
A072;CRIPTOSPORIDIOSE
A073;ISOSPORIASE
A078;OUTRAS DOENCAS INTESTINAIS ESPECIFICADAS POR PROTOZOARIOS
A079;DOENCA INTESTINAL NAO ESPECIFICADA POR PROTOZOARIOS
A080;ENTERITE POR ROTAVIRUS
A081;GASTROENTEROPATIA AGUDA PELO AGENTE DE NORWALK
A082;ENTERITE POR ADENOVIRUS
A083;OUTRAS ENTERITES VIRAIS
A084;INFECCAO INTESTINAL DEVIDA A VIRUS NAO ESPECIFICADO
A085;OUTRAS INFECCOES INTESTINAIS ESPECIFICADAS
A09;DIARREIA E GASTROENTERITE DE ORIGEM INFECCIOSA PRESUMIVEL
A150;TUBERCULOSE PULMONAR, COM CONFIRMACAO POR EXAME MICROSCOPICO DA EXPECTORACAO, COM OU SEM CULTURA
A151;TUBERCULOSE PULMONAR, COM CONFIRMACAO SOMENTE POR CULTURA
A152;TUBERCULOSE PULMONAR, COM CONFIRMACAO HISTOLOGICA
A153;TUBERCULOSE PULMONAR, COM CONFIRMACAO POR MEIO NAO ESPECIFICADO
A154;TUBERCULOSE DOS GANGLIOS INTRATORACICOS, COM CONFIRMACAO BACTERIOLOGICA E HISTOLOGICA
A155;TUBERCULOSE DA LARINGE, DA TRAQUEIA E DOS BRONQUIOS, COM CONFIRMACAO BACTERIOLOGICA E HISTOLOGICA
A156;PLEURIS TUBERCULOSO, COM CONFIRMACAO BACTERIOLOGICA E HISTOLOGICA
A157;TUBERCULOSE PRIMARIA DAS VIAS RESPIRATORIAS, COM CONFIRMACAO BACTERIOLOGICA E HISTOLOGICA
A158;OUTRAS FORMAS DE TUBERCULOSE DAS VIAS RESPIRATORIAS, COM CONFIRMACAO BACTERIOLOGICA E HISTOLOGICA
A159;TUBERCULOSE NAO ESPECIFICADA DAS VIAS RESPIRATORIAS, COM CONFIRMACAO BACTERIOLOGICA E HISTOLOGICA
A160;TUBERCULOSE PULMONAR COM EXAMES BACTERIOLOGICO E HISTOLOGICO NEGATIVOS
A161;TUBERCULOSE PULMONAR, SEM REALIZACAO DE EXAME BACTERIOLOGICO OU HISTOLOGICO
A162;TUBERCULOSE PULMONAR, SEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU HISTOLOGICA
A163;TUBERCULOSE DOS GANGLIOS INTRATORACICOS, SEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU HISTOLOGICA
A164;TUBERCULOSE DA LARINGE, DA TRAQUEIA E DOS BRONQUIOS, SEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU HISTOLOGICA
A165;PLEURISIA TUBERCULOSA, SEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU HISTOLOGICA
A167;TUBERCULOSA RESPIRATORIA PRIMARIA SEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU HISTOLOGICA
A168;OUTRAS FORMAS DE TUBERCULOSE DAS VIAS RESPIRATORIAS, SEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU HISTOLOGICA
A169;TUBERCULOSE RESPIRATORIA, NAO ESPECIFICADA, SEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU HISTOLOGICA
A170;MENINGITE TUBERCULOSA
A171;TUBERCULOMA MENINGEO
A178;OUTRAS TUBERCULOSES DO SISTEMA NERVOSO
A179;TUBERCULOSE NAO ESPECIFICADA DO SISTEMA NERVOSO
A180;TUBERCULOSE OSSEA E DAS ARTICULACOES
A181;TUBERCULOSE DO APARELHO GENITURINARIO
A182;LINFADENOPATIA TUBERCULOSA PERIFERICA
A183;TUBERCULOSE DO INTESTINO, DO PERITONIO E DOS GANGLIOS MESENTERICOS
A184;TUBERCULOSE DE PELE E DO TECIDO CELULAR SUBCUTANEO
A185;TUBERCULOSE DO OLHO
A186;TUBERCULOSE DO OUVIDO
A187;TUBERCULOSE DAS SUPRA-RENAIS
A188;TUBERCULOSE DE OUTROS ORGAOS ESPECIFICADOS
A190;TUBERCULOSE MILIAR AGUDA DE LOCALIZACAO UNICA E ESPECIFICADA
A191;TUBERCULOSE MILIAR AGUDA DE MULTIPLAS LOCALIZACOES
A192;TUBERCULOSE MILIAR AGUDA NAO ESPECIFICADA
A198;OUTRAS TUBERCULOSES MILIARES
A199;TUBERCULOSE MILIAR NAO ESPECIFICADA
A200;PESTE BUBONICA
A201;PESTE CELULOCUTANEA
A202;PESTE PNEUMONICA
A203;PESTE MENINGEA
A207;PESTE SEPTICEMICA
A208;OUTRAS FORMAS DE PESTE
A209;PESTE, FORMA NAO ESPECIFICADA
A210;TULAREMIA ULCEROGLANDULAR
A211;TULAREMIA OCULOGLANDULAR
A212;TULAREMIA PULMONAR
A213;TULAREMIA GASTROINTESTINAL
A217;TULAREMIA GENERALIZADA
A218;OUTRAS FORMAS DE TULAREMIA
A219;TULAREMIA, FORMA NAO ESPECIFICADA
A220;CARBUNCULO CUTANEO
A221;CARBUNCULO PULMONAR
A222;CARBUNCULO GASTROINTESTINAL
A227;SEPTICEMIA CARBUNCULOSA
A228;OUTRAS FORMAS DE CARBUNCULO
A229;CARBUNCULO, FORMA NAO ESPECIFICADA
A230;BRUCELOSE POR BRUCELLA MELITENSIS
A231;BRUCELOSE POR BRUCELLA ABORTUS
A232;BRUCELOSE POR BRUCELLA SUIS
A233;BRUCELOSE POR BRUCELLA CANIS
A238;OUTRAS BRUCELOSES
A239;BRUCELOSE NAO ESPECIFICADA
A240;MORMO
A241;MELIOIDOSE AGUDA E FULMINANTE
A242;MELIOIDOSE SUBAGUDA E CRONICA
A243;OUTRAS MELIOIDOSES
A244;MELIOIDOSE NAO ESPECIFICADA
A250;ESPIRILOSE
A251;ESTREPTOBACILOSE
A259;FEBRE TRANSMITIDA POR MORDEDURA DE RATO, TIPO NAO ESPECIFICADO
A260;ERISIPELOIDE CUTANEO
A267;SEPTICEMIA POR ERYSIPELOTHRIX
A268;OUTRAS FORMAS DE ERISIPELOIDE
A269;ERISIPELOIDE NAO ESPECIFICADO
A270;LEPTOPIROSE ICTEROHEMORRAGICA
A278;OUTRAS FORMAS DE LEPTOSPIROSE
A279;LEPTOSPIROSE NAO ESPECIFICADA
A280;PASTEURELOSE
A281;DOENCA POR ARRANHADURA DO GATO
A282;YERSINIOSE EXTRA-INTESTINAL
A288;OUTRAS DOENCAS BACTERIANAS ZOONOTICAS ESPECIFICADAS NAO CLASSIFICADAS EM OUTRA PARTE
A289;DOENCA BACTERIANA ZOONOTICA NAO ESPECIFICADA
A300;HANSENIASE [LEPRA] INDETERMINADA
A301;HANSENIASE [LEPRA] TUBERCULOIDE
A302;HANSENIASE [LEPRA] TUBERCULOIDE BORDERLINE
A303;HANSENIASE [LEPRA] DIMORFA
A304;HANSENIASE [LEPRA] LEPROMATOSA BORDERLINE
A305;HANSENIASE [LEPRA] LEPROMATOSA
A308;OUTRAS FORMAS DE HANSENIASE [LEPRA]
A309;HANSENIASE [LEPRA] NAO ESPECIFICADA
A310;INFECCAO PULMONAR MICOBACTERIANA
A311;INFECCAO CUTANEA MICOBACTERIANA
A318;OUTRAS INFECCOES MICOBACTERIANAS
A319;INFECCAO MICOBACTERIANA NAO ESPECIFICADA
A320;LISTERIOSE CUTANEA
A321;MENINGITE E MENINGOENCEFALITE POR LISTERIA
A327;SEPTICEMIA LISTERIOTICA
A328;OUTRAS FORMAS DE LISTERIOSE
A329;LISTERIOSE NAO ESPECIFICADA
A33;TETANO DO RECEM-NASCIDO [NEONATAL]
A34;TETANO OBSTETRICO
A35;OUTROS TIPOS DE TETANO
A360;DIFTERIA FARINGEA
A361;DIFTERIA NASOFARINGEA
A362;DIFTERIA LARINGEA
A363;DIFTERIA CUTANEA
A368;OUTRAS FORMAS DE DIFTERIA
A369;DIFTERIA NAO ESPECIFICADA
A370;COQUELUCHE POR BORDETELLA PERTUSSIS
A371;COQUELUCHE POR BORDETELLA PARAPERTUSSIS
A378;COQUELUCHE POR OUTRAS ESPECIES DA BORDETELLA
A379;COQUELUCHE NAO ESPECIFICADA
A38;ESCARLATINA
A390;MENINGITE MENINGOCOCICA
A391;SINDROME DE WATERHOUSE-FRIDERICHSEN
A392;MENINGOCOCCEMIA AGUDA
A393;MENINGOCOCCEMIA CRONICA
A394;MENINGOCOCCEMIA NAO ESPECIFICADA
A395;CARDITE POR MENINGOCOCOS
A398;OUTRAS INFECCOES POR MENINGOCOCOS
A399;INFECCAO MENINGOCOCICA NAO ESPECIFICADA
A400;SEPTICEMIA POR STREPTOCOCCUS DO GRUPO A
A401;SEPTICEMIA POR STREPTOCOCCUS DO GRUPO B
A402;SEPTICEMIA POR STREPTOCOCCUS DO GRUPO D
A403;SEPTICEMIA POR STREPTOCOCCUS PNEUMONIA
A408;OUTRAS SEPTICEMIAS ESTREPTOCOCICAS
A409;SEPTICEMIA ESTREPTOCOCICA NAO ESPECIFICADA
A410;SEPTICEMIA POR STAPHYLOCOCCUS AUREUS
A411;SEPTICEMIA POR OUTROS ESTAFILOCOCOS ESPECIFICADOS
A412;SEPTICEMIA POR ESTAFILOCOCOS NAO ESPECIFICADOS
A413;SEPTICEMIA POR HAEMOPHILUS INFLUENZAE
A414;SEPTICEMIA POR ANAEROBIOS
A415;SEPTICEMIA POR OUTROS MICROORGANISMOS GRAM-NEGATIVOS
A418;OUTRAS SEPTICEMIAS ESPECIFICADAS
A419;SEPTICEMIA NAO ESPECIFICADA
A420;ACTINOMICOSE PULMONAR
A421;ACTINOMICOSE ABDOMINAL
A422;ACTINOMICOSE CERVICOFACIAL
A427;SEPTICEMIA ACTINOMICOTICA
A428;OUTRAS FORMAS DE ACTINOMICOSE
A429;ACTINOMICOSE NAO ESPECIFICADA
A430;NOCARDIOSE PULMONAR
A431;NOCARDIOSE CUTANEA
A438;OUTRAS FORMAS DE NOCARDIOSE
A439;NOCARDIOSE NAO ESPECIFICADA
A440;BARTONELOSE SISTEMICA
A441;BARTONELOSE CUTANEA E CUTANEO-MUCOSA
A448;OUTRAS FORMAS DE BARTONELOSE
A449;BARTONELOSE NAO ESPECIFICADA
A46;ERISIPELA
A480;GANGRENA GASOSA
A481;DOENCA DOS LEGIONARIOS
A482;DOENCA DOS LEGIONARIOS NAO-PNEUMONICA [FEBRE DE PONTIAC]
A483;SINDROME DO CHOQUE TOXICO
A484;FEBRE PURPURICA DO BRASIL
A488;OUTRAS DOENCAS BACTERIANAS ESPECIFICADAS
A490;INFECCAO ESTAFILOCOCICA DE LOCALIZACAO NAO ESPECIFICADA
A491;INFECCAO ESTREPTOCOCICA DE LOCALIZACAO NAO ESPECIFICADA
A492;INFECCAO POR HAEMOPHILUS INFLUENZAE DE LOCALIZACAO NAO ESPECIFICADA
A493;INFECCAO POR MYCOPLASMA DE LOCALIZACAO NAO ESPECIFICADA
A498;OUTRAS INFECCOES BACTERIANAS DE LOCALIZACAO NAO ESPECIFICADA
A499;INFECCAO BACTERIANA NAO ESPECIFICADA
A500;SIFILIS CONGENITA PRECOCE SINTOMATICA
A501;SIFILIS CONGENITA PRECOCE, FORMA LATENTE
A502;SIFILIS CONGENITA PRECOCE NAO ESPECIFICADA
A503;OCULOPATIA SIFILITICA CONGENITA TARDIA
A504;NEUROSSIFILIS CONGENITA TARDIA [NEUROSSIFILIS JUVENIL]
A505;OUTRAS FORMAS TARDIAS E SINTOMATICAS DA SIFILIS CONGENITA
A506;SIFILIS CONGENITA TARDIA LATENTE
A507;SIFILIS CONGENITA TARDIA NAO ESPECIFICADA
A509;SIFILIS CONGENITA NAO ESPECIFICADA
A510;SIFILIS GENITAL PRIMARIA
A511;SIFILIS ANAL PRIMARIA
A512;SIFILIS PRIMARIA DE OUTRAS LOCALIZACOES
A513;SIFILIS SECUNDARIA DA PELE E DAS MUCOSAS
A514;OUTRAS FORMAS DE SIFILIS SECUNDARIA
A515;SIFILIS PRECOCE LATENTE
A519;SIFILIS PRECOCE NAO ESPECIFICADA
A520;SIFILIS CARDIOVASCULAR
A521;NEUROSSIFILIS SINTOMATICA
A522;NEUROSSIFILIS ASSINTOMATICA
A523;NEUROSSIFILIS NAO ESPECIFICADA
A527;OUTRAS FORMAS DE SIFILIS TARDIA SINTOMATICA
A528;SIFILIS TARDIA LATENTE
A529;SIFILIS TARDIA NAO ESPECIFICADA
A530;SIFILIS LATENTE, NAO ESPECIFICADA SE RECENTE OU TARDIA
A539;SIFILIS NAO ESPECIFICADA
A540;INFECCAO GONOCOCICA DO TRATO GENITURINARIO INFERIOR, SEM ABSCESSO PERIURETRAL OU DAS GLANDULAS ACESSORIAS
A541;INFECCAO GONOCOCICA DO TRATO GENITURINARIO INFERIOR, COM ABSCESSO PERIURETRAL OU DAS GLANDULAS ACESSORIAS
A542;PELVIPERITONITE GONOCOCICA E OUTRAS INFECCOES GENITURINARIAS GONOCOCICAS
A543;INFECCAO GONOCOCICA DO OLHO
A544;INFECCAO GONOCOCICA DO SISTEMA MUSCULO-ESQUELETICO
A545;FARINGITE GONOCOCICA
A546;INFECCAO GONOCOCICA DO ANUS OU DO RETO
A548;OUTRAS INFECCOES GONOCOCICAS
A549;INFECCAO GONOCOCICA NAO ESPECIFICADA
A55;LINFOGRANULOMA (VENEREO) POR CLAMIDIA
A560;INFECCOES POR CLAMIDIAS DO TRATO GENITURINARIO INFERIOR
A561;INFECCAO POR CLAMIDIAS, PELVIPERITONIAL E DE OUTROS ORGAOS GENITURINARIOS
A562;INFECCAO POR CLAMIDIAS DO TRATO GENITURINARIO, LOCALIZACAO NAO ESPECIFICADA
A563;INFECCAO DO ANUS E DO RETO POR CLAMIDIAS
A564;INFECCAO DA FARINGE POR CLAMIDIAS
A568;INFECCAO POR CLAMIDIAS TRANSMITIDA POR VIA SEXUAL, DE OUTRAS LOCALIZACOES
A57;CANCRO MOLE
A58;GRANULOMA INGUINAL
A590;TRICOMONIASE UROGENITAL
A598;OUTRAS LOCALIZACOES DE TRICOMONIASE
A599;TRICOMONIASE NAO ESPECIFICADA
A600;INFECCAO DOS ORGAOS GENITAIS E DO TRATO GENITURINARIO PELO VIRUS DO HERPES
A601;INFECCAO DA MARGEM CUTANEA DO ANUS E DO RETO PELO VIRUS DO HERPES
A609;INFECCAO ANOGENITAL NAO ESPECIFICADA PELO VIRUS DO HERPES
A630;VERRUGAS ANOGENITAIS (VENEREAS)
A638;OUTRAS DOENCAS ESPECIFICADAS DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL
A64;DOENCAS SEXUALMENTE TRANSMITIDAS, NAO ESPECIFICADAS
A65;SIFILIS NAO-VENEREA
A660;LESOES INICIAIS DA BOUBA
A661;PAPILOMAS MULTIPLOS E BOUBA PLANTAR UMIDA (CRAVO DE BOUBA)
A662;OUTRAS LESOES CUTANEAS PRECOCES DA BOUBA
A663;HIPERCERATOSE DEVIDA A BOUBA
A664;GOMAS E ULCERAS DEVIDAS A BOUBA
A665;GANGOSA
A666;LESOES OSTEOARTICULARES DEVIDAS A BOUBA
A667;OUTRAS MANIFESTACOES DA BOUBA
A668;BOUBA LATENTE
A669;BOUBA NAO ESPECIFICADA
A670;LESOES PRIMARIAS DA PINTA
A671;LESOES INTERMEDIARIAS DA PINTA
A672;LESOES TARDIAS DA PINTA
A673;LESOES MISTAS DA PINTA
A679;PINTA NAO ESPECIFICADA
A680;FEBRE RECORRENTE TRANSMITIDA POR PIOLHOS
A681;FEBRE RECORRENTE TRANSMITIDA POR CARRAPATOS
A689;FEBRE RECORRENTE NAO ESPECIFICADA
A690;ESTOMATITE ULCERATIVA NECROTIZANTE
A691;OUTRAS INFECCOES DE VINCENT
A692;DOENCA DE LYME
A698;OUTRAS INFECCOES ESPECIFICADAS POR ESPIROQUETAS
A699;INFECCAO POR ESPIROQUETA, NAO ESPECIFICADA
A70;INFECCOES CAUSADAS POR CLAMIDIA PSITTACI
A710;FASE INICIAL DO TRACOMA
A711;FASE ATIVA DO TRACOMA
A719;TRACOMA NAO ESPECIFICADO
A740;CONJUNTIVITE CAUSADA POR CLAMIDIAS
A748;OUTRAS DOENCAS CAUSADAS POR CLAMIDIAS
A749;INFECCAO CAUSADA POR CLAMIDIAS NAO ESPECIFICADA
A750;TIFO EPIDEMICO TRANSMITIDO POR PIOLHOS DEVIDO A RICKETTSIA PROWAZEKII
A751;TIFO RECRUDESCENTE [DOENCA DE BRILL]
A752;TIFO POR RICKETTSIA TYPHI
A753;TIFO POR RICKETTSIA TSUTSUGAMUCHI
A759;TIFO NAO ESPECIFICADO
A770;FEBRE MACULOSA POR RICKETTSIA RICHETTSII
A771;FEBRE MACULOSA POR RICKETTSIA CONORII
A772;FEBRE MACULOSA DEVIDA A RICKETTSIA SIBERICA
A773;FEBRE MACULOSA DEVIDA A RICKETTSIA AUSTRALIS
A778;OUTRAS FEBRES MACULOSAS
A779;FEBRE MACULOSA NAO ESPECIFICADA
A78;FEBRE Q
A790;FEBRE DAS TRINCHEIRAS
A791;RICKETTSIOSE VARICELIFORME DEVIDA A RICKETTSIA AKARI
A798;OUTROS TIPOS DE RICKETTSIOSES ESPECIFICADAS
A799;RICKETTSIOSE NAO ESPECIFICADA
A800;POLIOMIELITE PARALITICA AGUDA, ASSOCIADA AO VIRUS VACINAL
A801;POLIOMIELITE PARALITICA AGUDA, VIRUS SELVAGEM IMPORTADO
A802;POLIOMIELITE PARALITICA AGUDA, VIRUS SELVAGEM INDIGENA
A803;POLIOMIELITES PARALITICAS AGUDAS, OUTRAS E NAO ESPECIFICADAS
A804;POLIOMIELITE AGUDA NAO-PARALITICA
A809;POLIOMIELITE AGUDA NAO ESPECIFICADA
A810;DOENCA DE CREUTZFELDT-JAKOB
A811;PANENCEFALITE ESCLEROSANTE SUBAGUDA
A812;LEUCOENCEFALOPATIA MULTIFOCAL PROGRESSIVA
A818;OUTRAS INFECCOES POR VIRUS ATIPICOS DO SISTEMA NERVOSO CENTRAL
A819;INFECCAO NAO ESPECIFICADA DO SISTEMA NERVOSOS CENTRAL POR VIRUS ATIPICOS
A820;RAIVA SILVESTRE
A821;RAIVA URBANA
A829;RAIVA NAO ESPECIFICADA
A830;ENCEFALITE JAPONESA
A831;ENCEFALITE EQUINA OCIDENTAL
A832;ENCEFALITE EQUINA ORIENTAL
A833;ENCEFALITE DE ST. LOUIS
A834;ENCEFALITE AUSTRALIANA
A835;ENCEFALITE DA CALIFORNIA
A836;DOENCA PELO VIRUS DE ROCIO
A838;OUTRAS ENCEFALITES POR VIRUS TRANSMITIDAS POR MOSQUITOS
A839;ENCEFALITE NAO ESPECIFICADA POR VIRUS TRANSMITIDA POR MOSQUITOS
A840;ENCEFALITE DA TAIGA [ENCEFALITE VERNOESTIVAL RUSSA]
A841;ENCEFALITE DA EUROPA CENTRAL TRANSMITIDA POR CARRAPATOS
A848;OUTRAS ENCEFALITES POR VIRUS TRANSMITIDAS POR CARRAPATOS
A849;ENCEFALITE NAO ESPECIFICADA POR VIRUS TRANSMITIDA POR CARRAPATOS
A850;ENCEFALITE POR ENTEROVIRUS
A851;ENCEFALITE POR ADENOVIRUS
A852;ENCEFALITE POR VIRUS TRANSMITIDO POR ARTROPODES, NAO ESPECIFICADA
A858;OUTRAS ENCEFALITES VIRAIS ESPECIFICADAS
A86;ENCEFALITE VIRAL, NAO ESPECIFICADA
A870;MENINGITE POR ENTEROVIRUS
A871;MENINGITE POR ADENOVIRUS
A872;CORIOMENINGITE LINFOCITARIA
A878;OUTRAS MENINGITES VIRAIS
A879;MENINGITE VIRAL NAO ESPECIFICADA
A880;FEBRE EXANTEMATICA POR ENTEROVIRUS [EXANTEMA DE BOSTON]
A881;VERTIGEM EPIDEMICA
A888;OUTRAS INFECCOES VIRAIS ESPECIFICADAS DO SISTEMA NERVOSO CENTRAL
A89;INFECCOES VIRAIS NAO ESPECIFICADAS DO SISTEMA NERVOSO CENTRAL
A90;DENGUE [DENGUE CLASSICO]
A91;FEBRE HEMORRAGICA DEVIDA AO VIRUS DO DENGUE
A920;FEBRE DE CHIKUNGUNYA
A921;FEBRE DE O'NYONG-NYONG
A922;FEBRE EQUINA VENEZUELANA
A923;INFECCAO PELO VIRUS WEST NILE
A924;FEBRE DO VALE DO RIFT
A928;OUTRAS FEBRES VIRAIS ESPECIFICADAS TRANSMITIDAS POR MOSQUITOS
A929;FEBRE VIRAL TRANSMITIDA POR MOSQUITOS, NAO ESPECIFICADA
A930;FEBRE DE OROPOUCHE
A931;FEBRE POR FLEBOTOMOS
A932;FEBRE DO COLORADO TRANSMITIDA POR CARRAPATOS
A938;OUTRAS FEBRES VIRAIS ESPECIFICADAS TRANSMITIDAS POR ARTROPODES
A94;FEBRE VIRAL TRANSMITIDA POR ARTROPODES, NAO ESPECIFICADA
A950;FEBRE AMARELA SILVESTRE
A951;FEBRE AMARELA URBANA
A959;FEBRE AMARELA NAO ESPECIFICADA
A960;FEBRE HEMORRAGICA DE JUNIN
A961;FEBRE HEMORRAGICA DE MACHUPO
A962;FEBRE DE LASSA
A968;OUTRAS FEBRES HEMORRAGICAS POR ARENAVIRUS
A969;FEBRE HEMORRAGICA POR ARENAVIRUS, NAO ESPECIFICADA
A980;FEBRE HEMORRAGICA DA CRIMEIA (DO CONGO)
A981;FEBRE HEMORRAGICA DE OMSK
A982;DOENCA DA FLORESTA DE KYASANUR
A983;DOENCA DE MARBURG
A984;DOENCA PELO VIRUS EBOLA
A985;FEBRE HEMORRAGICA COM SINDROME RENAL
A988;OUTRAS FEBRES HEMORRAGICAS ESPECIFICADAS POR VIRUS
A99;FEBRES HEMORRAGICAS VIRAIS NAO ESPECIFICADAS
B000;ECZEMA HERPETICO
B001;DERMATITE VESICULAR DEVIDO AO VIRUS DO HERPES
B002;GENGIVOESTOMATITE E FARINGOAMIGDALITE DEVIDA AO VIRUS DO HERPES
B003;MENINGITE DEVIDA AO VIRUS DO HERPES
B004;ENCEFALITE DEVIDA AO VIRUS DO HERPES
B005;AFECCOES OCULARES DEVIDAS AO VIRUS DO HERPES
B007;DOENCA DISSEMINADA DEVIDA AO VIRUS DO HERPES
B008;OUTRAS FORMAS DE INFECCAO DEVIDA AO VIRUS DO HERPES
B009;INFECCAO NAO ESPECIFICADA DEVIDA AO VIRUS DO HERPES
B010;MENINGITE POR VARICELA
B011;ENCEFALITE POR VARICELA
B012;PNEUMOPATIA VARICELOSA
B018;VARICELA COM OUTRAS COMPLICACOES
B019;VARICELA SEM COMPLICACAO
B020;ENCEFALITE PELO VIRUS DO HERPES ZOSTER
B021;MENINGITE PELO VIRUS DO HERPES ZOSTER
B022;HERPES ZOSTER ACOMPANHADO DE OUTRAS MANIFESTACOES NEUROLOGICAS
B023;HERPES ZOSTER OFTALMICO
B027;HERPES ZOSTER DISSEMINADO
B028;HERPES ZOSTER COM OUTRAS COMPLICACOES
B029;HERPES ZOSTER SEM COMPLICACAO
B03;VARIOLA
B04;VARIOLA DOS MACACOS [MONKEYPOX]
B050;SARAMPO COMPLICADO POR ENCEFALITE
B051;SARAMPO COMPLICADO POR MENINGITE
B052;SARAMPO COMPLICADO POR PNEUMONIA
B053;SARAMPO COMPLICADO POR OTITE MEDIA
B054;SARAMPO COM COMPLICACOES INTESTINAIS
B058;SARAMPO COM OUTRAS COMPLICACOES
B059;SARAMPO SEM COMPLICACAO
B060;RUBEOLA COM COMPLICACOES NEUROLOGICAS
B068;RUBEOLA COM OUTRAS COMPLICACOES
B069;RUBEOLA SEM COMPLICACAO
B07;VERRUGAS DE ORIGEM VIRAL
B080;OUTRAS INFECCOES POR ORTOPOXVIRUS
B081;MOLUSCO CONTAGIOSO
B082;EXANTEMA SUBITO [SEXTA DOENCA]
B083;ERITEMA INFECCIOSO [QUINTA DOENCA]
B084;ESTOMATITE VESICULAR DEVIDA A ENTEROVIRUS COM EXANTEMA
B085;FARINGITE VESICULAR DEVIDA A ENTEROVIRUS
B088;OUTRAS INFECCOES VIRAIS ESPECIFICADAS CARACTERIZADAS POR LESOES DE PELE E DAS MEMBRANAS MUCOSAS
B09;INFECCAO VIRAL NAO ESPECIFICADA CARACTERIZADA POR LESOES DA PELE E MEMBRANAS MUCOSAS
B150;HEPATITE A COM COMA HEPATICO
B159;HEPATITE A SEM COMA HEPATICO
B160;HEPATITE AGUDA B COM AGENTE DELTA (CO-INFECCAO), COM COMA HEPATICO
B161;HEPATITE AGUDA B COM AGENTE DELTA, (CO-INFECCAO), SEM COMA HEPATICO
B162;HEPATITE AGUDA B SEM AGENTE DELTA, COM COMA HEPATICO
B169;HEPATITE AGUDA B SEM AGENTE DELTA E SEM COMA HEPATICO
B170;(SUPER)INFECCAO DELTA AGUDA DE PORTADOR DE HEPATITE B
B171;HEPATITE AGUDA C
B172;HEPATITE AGUDA E
B178;OUTRAS HEPATITES VIRAIS AGUDAS ESPECIFICADAS
B180;HEPATITE VIRAL CRONICA B COM AGENTE DELTA
B181;HEPATITE CRONICA VIRAL B SEM AGENTE DELTA
B182;HEPATITE VIRAL CRONICA C
B188;OUTRAS HEPATITES CRONICAS VIRAIS
